k,status,rss,rmse,mae,r2,trace_hat,aicc_fixed_partition,min_positive_same_regime,median_positive_same_regime,max_positive_same_regime
8,unidentified,,,,,,,,,
9,unidentified,,,,,,,,,
10,unidentified,,,,,,,,,
11,unidentified,,,,,,,,,
12,unidentified,,,,,,,,,
13,fit,9.882469599416993,0.24930683274166238,0.15862905476899913,0.9378461031483208,115.99066698823495,916.6824338130864,4.0,9.0,13.0
14,fit,10.797327671529724,0.26059109962657867,0.16812133025928766,0.9320922787954106,112.15223124406145,825.8984667781632,4.0,10.0,14.0
15,fit,12.090809328632599,0.27575863715619636,0.1791112917361327,0.9239571740337572,108.39465838262056,757.279081722964,4.0,11.0,15.0
16,fit,13.076648408242054,0.28678052888916644,0.19111835758205953,0.91775692825005,104.2052745106394,687.7143281241771,5.0,11.0,16.0
17,fit,14.146194373893044,0.29827801785655317,0.19797583034116992,0.9110302240635657,100.48294251510949,637.5344852853839,5.0,11.0,17.0
18,fit,15.382575284766846,0.311039798913206,0.20845428613352704,0.9032542434920324,96.51239686257577,592.5006576200217,5.0,12.0,18.0
19,fit,16.218608626249555,0.3193803811101232,0.2152879489232726,0.8979961721619525,94.27700810380813,571.3119801620323,5.0,12.0,19.0
20,fit,17.16725745186053,0.32858815050639123,0.2244347767880536,0.8920298273467892,91.41500493384663,545.3941755180838,5.0,13.0,20.0
21,fit,19.419691879873554,0.349480223928971,0.2329728192009021,0.8778635730825562,87.98424771993243,526.914126580766,5.0,13.0,21.0
22,fit,21.062442534781866,0.3639618002519677,0.24213550810431717,0.8675318079573467,85.47024569030941,514.238808995857,5.0,14.0,22.0
23,fit,22.25867147016247,0.37415457295939947,0.24973472621579734,0.8600083555335694,82.9062061024094,498.71449386028644,5.0,14.0,23.0
24,fit,23.581149309259356,0.3851092249642619,0.25771835292478285,0.8516908848474254,80.87760259419687,489.8201295769675,5.0,15.0,24.0
25,fit,24.54524494714078,0.39290279934157396,0.2636126658742251,0.8456273902695548,79.20554431857202,482.00486550841873,6.0,15.0,25.0
26,fit,26.37678488642143,0.40729808352779884,0.27085392221279897,0.8341082711545822,77.58364091491512,480.2573024719521,6.0,16.0,26.0
27,fit,27.555040563097133,0.416295738515627,0.2779273978735647,0.8266978580937288,75.89549238724237,474.0371870810134,6.0,16.0,27.0
28,fit,28.523781198282826,0.42355029253167276,0.28204100597884396,0.8206051496963345,74.36472069715916,468.05523363431735,6.0,16.0,28.0
29,fit,29.181118628206093,0.42840290379050766,0.2854805093330358,0.8164709520238611,72.92528763784179,461.26798595854194,6.0,17.0,29.0
30,fit,30.14756913515089,0.43543926448043646,0.2899242095889876,0.8103926469487366,71.24504333479173,454.73926095693116,6.0,17.0,30.0
31,fit,30.808166752690187,0.4401841149432427,0.29374734889075343,0.806237944951634,69.97223171161076,449.6166457671354,6.0,17.0,31.0
32,fit,31.255229415251115,0.4433664059299483,0.296695303688784,0.8034262300927603,68.68480850447337,443.49121499867874,6.0,17.0,32.0
33,fit,31.605167425613434,0.44584149413994634,0.2984646672100884,0.8012253621030602,67.4741963787105,437.56833534887016,6.0,18.0,33.0
34,fit,32.25000777511049,0.4503667811676515,0.30157962529738597,0.7971697624206887,66.23450479126328,433.11446724201767,6.0,18.0,34.0
35,fit,32.61559106545636,0.4529122470814068,0.3034349645719718,0.7948704964436707,65.13461373931126,428.27906324738916,6.0,18.0,35.0
36,fit,33.17074236074589,0.45675050206514994,0.3061941128012989,0.7913789788632334,64.16179757391308,425.2315558361346,6.0,19.0,36.0
37,fit,33.73547906056002,0.4606222142713611,0.30860276535755643,0.7878271757197484,62.93672103339904,420.8672055033926,6.0,19.0,37.0
38,fit,34.102035966947795,0.46311792626565695,0.31076622212584665,0.7855217863713975,61.937600743592306,416.9715117181976,6.0,19.0,38.0
39,fit,34.42646357927565,0.46531563359011363,0.31289643493682723,0.7834813611366311,61.0016109767954,413.32373215056305,6.0,19.0,39.0
40,fit,34.722638219729276,0.46731292775946986,0.3151236368562577,0.7816186275488725,60.25829212372908,410.6643354255723,7.0,19.0,40.0
41,fit,35.16753666036745,0.4702972207565845,0.3172852737053043,0.7788205241486323,59.49719041469545,408.63453416631785,7.0,20.0,41.0
42,fit,35.667861907267735,0.47363084308077646,0.3193268617288299,0.7756738244825929,58.561979571794716,405.98498401401923,7.0,20.0,42.0
43,fit,35.99087803539233,0.47577066270739454,0.3210261112120673,0.7736422765069665,57.71919746092705,403.0856152805301,7.0,20.0,43.0
44,fit,36.293081160306215,0.4777639292343004,0.3225379233785465,0.7717416279226024,57.06893199248175,401.1219785262188,7.0,20.0,44.0
45,fit,36.694178620119494,0.4803967085761667,0.32404800236504727,0.7692190023891856,56.333804399125675,399.19788513860186,7.0,21.0,45.0
46,fit,36.98742492493306,0.4823124651025409,0.32544118375498354,0.7673746860067103,55.54218753176076,396.5691976658034,7.0,21.0,46.0
47,fit,37.392269018975476,0.48494484558967804,0.3273592316891858,0.7648284967360033,54.80422531078406,394.72404948406734,7.0,21.0,47.0
48,fit,37.632926118172776,0.48650289816774456,0.32869840937919237,0.7633149300743851,54.16521208175884,392.689027163041,7.0,21.0,48.0
49,fit,38.00036260057234,0.48887216242957443,0.33018153883826173,0.7610040088014318,53.49480523312847,391.0693134006854,7.0,21.0,49.0
50,fit,38.155082122491244,0.4898663796922331,0.33142149335006166,0.7600309300472249,52.81454463281095,388.54587539087777,7.0,21.0,50.0
51,fit,38.63886206494932,0.4929621801926697,0.33327686430948983,0.7569882888996898,52.1782766118898,387.6219200774445,7.0,21.0,51.0
52,fit,38.83751044018159,0.4942277531167463,0.3341640061167424,0.7557389280491724,51.65714716838913,386.0660408567305,7.0,21.0,51.0
53,fit,39.0559008892249,0.49561537182333026,0.33532382978926506,0.7543654032124221,51.04617909579301,384.20731656476033,7.0,21.0,51.0
54,fit,39.256973398602995,0.49688952873329784,0.3358045424293536,0.7531007962352013,50.52421238173325,382.6991399573458,7.0,21.0,51.0
55,fit,39.355158910679414,0.49751052522401534,0.3365613865695357,0.7524832772913245,49.9883571408737,380.73339371604743,7.0,21.0,51.0
56,fit,39.495169146558005,0.4983947132844856,0.3373027052741913,0.7516027097700755,49.525413189759576,379.2756088607084,8.0,21.0,52.0
57,fit,39.63141837290078,0.4992536465596917,0.338123399345645,0.7507457963968505,49.07693316597401,377.8804714994089,8.0,21.0,53.0
58,fit,39.96394902705357,0.5013437856053635,0.3393206028661943,0.7486544086348832,48.628139451913356,377.2810386306557,8.0,21.0,53.0
59,fit,40.12128166944342,0.5023296774422817,0.3399326047896586,0.7476648951607332,48.10613078550427,375.68327012825955,8.0,21.0,53.0
60,fit,40.27850710781532,0.5033129683152523,0.34074899837164196,0.7466760559256898,47.63813324187964,374.33062846091593,8.0,21.0,53.0
61,fit,40.428235262023755,0.5042475885701049,0.3416116541990446,0.7457343694212342,47.23488351527604,373.23275930761713,8.0,21.0,53.0
62,fit,40.537520658974046,0.5049286683476525,0.34229561616531623,0.7450470398806663,46.692512794259635,371.4113210968935,8.0,21.0,53.0
63,fit,40.7380616856707,0.5061760804682305,0.343099085998915,0.7437857755618196,46.320388498878415,370.6645236743982,9.0,21.0,53.0
64,fit,40.87351058124846,0.507016867850155,0.343836093093933,0.7429338957154186,45.915778918074864,369.53881620758364,9.0,21.0,53.0
65,fit,41.10026230205426,0.5084212974848618,0.3447932337630047,0.7415077842638097,45.448019848083476,368.5218495756503,9.0,21.0,53.0
66,fit,41.422230113846005,0.510408826850921,0.3459891209850357,0.7394828294726666,45.08008483571395,368.28184493314126,9.0,21.0,53.0
67,fit,41.572288081062545,0.5113325056432823,0.34677174208028844,0.7385390686725626,44.74275113229575,367.50777265974693,9.0,21.0,53.0
68,fit,41.72767534268554,0.5122872335930544,0.3472313937258431,0.7375617902975753,44.35126713677723,366.54551345360835,9.0,21.0,53.0
69,fit,41.91570246844056,0.5134401330649606,0.3478738920353691,0.7363792297582354,43.93837971000228,365.6315418298316,9.0,21.0,53.0
70,fit,42.05976222935339,0.5143216955115938,0.34842482751399184,0.7354731935260793,43.62373231483666,364.9437643975989,9.0,21.0,53.0
71,fit,42.16500579887999,0.5149647713351141,0.3488250114037009,0.7348112842837737,43.27877170506177,363.9968425699576,9.0,21.0,53.0
72,fit,42.26828092257861,0.5155950395379032,0.34905983733875584,0.7341617552039081,43.00803591772778,363.33647168471657,9.0,21.0,53.0
73,fit,42.461176295932866,0.5167701841678376,0.3496074633736875,0.7329485767551391,42.63049670784881,362.605436832651,9.0,21.0,53.0
74,fit,42.59139053031541,0.5175619583139855,0.35024343920057804,0.7321296193061924,42.30757343795418,361.8553792136202,9.0,21.0,53.0
75,fit,42.691661089949406,0.5181708339383218,0.3504929219292781,0.7314989868556641,42.020667562126675,361.13614096590436,9.0,21.0,53.0
76,fit,42.79315764312778,0.5187864264281465,0.3509872725968382,0.7308606437539134,41.78631638005073,360.624856112816,9.0,21.0,53.0
77,fit,42.89638380227893,0.5194117609111516,0.3515328196185141,0.7302114226271765,41.4871729733966,359.87858382844195,9.0,21.0,53.0
78,fit,43.02595325076699,0.5201956166333702,0.35198081711555873,0.7293965204354278,41.19637630839803,359.2658748576789,9.0,21.0,53.0
79,fit,43.143233521701056,0.5209041095359618,0.3523643903037155,0.7286589086685469,40.933096061524175,358.714513809658,10.0,21.0,53.0
80,fit,43.243357670540284,0.5215082002800845,0.35255505855757735,0.7280291970406272,40.68314581333614,358.15286139960847,10.0,21.0,53.0
81,fit,43.38603381576099,0.5223678179272188,0.3528790802929485,0.727131862793956,40.41013288842942,357.66510332346763,10.0,21.0,53.0
82,fit,43.42744897542281,0.5226170777044313,0.35295703152660657,0.7268713900916804,40.16283707532728,356.9046730367289,10.0,21.0,53.0
83,fit,43.56538338338215,0.5234463887620812,0.3533129324488411,0.7260038780919362,39.90791015265226,356.47264007840295,10.0,21.0,53.0
84,fit,43.672063635974645,0.5240868886863344,0.35375638131905557,0.7253329331070777,39.64559751380079,355.9023858448155,10.0,21.0,53.0
85,fit,43.77689788814506,0.5247155437112884,0.3540009741230175,0.724673598187767,39.41830858260862,355.45600044950504,10.0,21.0,53.0
86,fit,43.84603913207824,0.5251297481604026,0.35424989832602366,0.7242387475969922,39.13355159108883,354.67457285000694,10.0,21.0,53.0
