iteration,node,from_regime,to_regime,current_cost,best_cost,current_loo_error,best_loo_error,current_boundary_disagreement,best_boundary_disagreement,AreaKey
1,131,4,6,6.602645820370757,4.141750377589418,1.6026458203707574,0.14175037758941864,5,4,13267
1,103,5,1,3.0079736811936217,3.0014494768025974,0.007973681193621901,0.0014494768025974409,3,3,13211
1,53,4,6,3.001552151131569,2.0928279146286215,0.0015521511315688273,0.09282791462862172,3,2,13109
1,113,5,1,2.0562960616583656,2.0434641515945016,0.05629606165836554,0.043464151594501475,2,2,13231
1,24,6,4,1.0082616294905304,1.0014601319338903,0.008261629490530463,0.0014601319338903146,1,1,13051
1,142,5,3,3.1382424882136988,3.121921141072835,0.13824248821369892,0.1219211410728353,3,3,13289
1,71,3,1,3.160274003396572,2.183829234017372,1.1602740033965722,0.18382923401737172,2,2,13145
1,10,5,3,3.147291871800479,3.134648747951057,0.1472918718004788,0.1346487479510568,3,3,13021
1,39,4,2,3.0281057300610597,3.0020590183497124,0.028105730061059448,0.0020590183497126093,3,3,13081
1,133,2,4,4.044550217552231,4.020005021436593,0.044550217552231514,0.02000502143659331,4,4,13271
1,155,2,4,4.333123037438439,3.0385903786383612,0.3331230374384387,0.038590378638361025,4,3,13315
1,123,3,4,3.000577912830898,2.055463088382505,0.0005779128308980257,0.05546308838250498,3,2,13251
1,48,4,2,3.036416996457775,2.1026043590044146,0.03641699645777477,0.10260435900441453,3,2,13099
1,91,6,2,3.500675977247595,3.035358004883773,0.5006759772475952,1.0353580048837732,3,2,13185
1,46,2,4,4.38892941992651,3.7208829217092982,1.3889294199265096,0.7208829217092984,3,3,13095
1,81,3,4,3.0907213517872307,2.164780407387981,0.0907213517872306,0.1647804073879809,3,2,13165
2,79,6,4,4.004705977947326,3.1750748097964765,0.00470597794732633,0.17507480979647658,4,3,13161
2,139,3,4,3.5438347302495252,3.2729673086970785,0.5438347302495254,0.27296730869707847,3,3,13283
2,52,3,4,9.01279168498694,5.000001303664944,0.012791684986939774,1.303664944263387e-06,9,5,13107
2,38,5,3,4.505638094034183,2.029008341036192,0.5056380940341837,0.029008341036191845,4,2,13079
2,16,5,4,3.0220700422290347,2.0115606449006904,0.02207004222903462,0.011560644900690512,3,2,13033
2,82,3,5,5.0059759061261335,3.158031413996578,0.005975906126133891,0.15803141399657802,5,3,13167
2,33,6,2,5.177958243491342,5.141478333706216,0.17795824349134223,0.14147833370621554,5,5,13069
2,14,6,4,3.59082904762581,2.394158767580843,0.5908290476258099,0.3941587675808428,3,2,13029
2,39,2,4,4.119774046919988,2.0172934135105756,0.11977404691998803,0.017293413510575714,4,2,13081
2,113,1,5,2.066728910374313,2.010985524600229,0.06672891037431317,0.010985524600228709,2,2,13231
3,144,5,3,4.1091939229214445,4.03103570031092,0.10919392292144454,0.03103570031091938,4,4,13293
3,86,3,4,6.036449678631436,4.121118509154974,0.03644967863143547,0.12111850915497403,6,4,13175
3,17,5,1,3.3775410645578856,3.3650140191927522,0.37754106455788544,0.3650140191927524,3,3,13035
3,11,3,4,4.0144157905545255,3.0010520001344876,0.014415790554525654,0.001052000134487364,4,3,13023
3,53,6,4,3.131850142310661,2.004355502398358,0.1318501423106611,0.004355502398358111,3,2,13109
4,65,5,1,3.0028272136177323,3.0020211513672943,0.0028272136177320845,0.002021151367294521,3,3,13133
4,78,5,1,3.162817178319672,3.008235027560154,0.16281717831967174,0.008235027560154023,3,3,13159
4,113,5,1,3.0041831946147446,2.0470279852674174,0.004183194614744756,0.04702798526741744,3,2,13231
5,65,1,5,3.0041785411131245,3.0034911927031027,0.004178541113124608,0.0034911927031027884,3,3,13133
5,84,5,1,4.134863360385343,2.0444804178653397,0.13486336038534283,0.044480417865339794,4,2,13171
6,144,3,1,4.043799306120967,4.0259973652565755,0.043799306120966865,0.02599736525657519,4,4,13293
6,65,5,1,3.0035224530875633,3.0028212235752183,0.0035224530875631994,0.0028212235752184214,3,3,13133
6,25,3,4,3.2634034436016166,3.01840619764714,2.2634034436016166,0.018406197647139938,1,3,13053
6,101,5,1,6.158229529908187,3.103025948194332,0.15822952990818714,0.10302594819433192,6,3,13207
7,97,3,4,4.230725348318183,3.390782611205621,0.2307253483181832,0.3907826112056212,4,3,13197
7,105,3,4,2.204700655889927,2.0110136176368116,0.20470065588992703,0.011013617636811572,2,2,13215
7,65,1,5,3.007294556075565,3.00273588209783,0.0072945560755651,0.002735882097829809,3,3,13133
8,122,3,4,2.325129241694716,2.004281777351062,0.3251292416947158,0.0042817773510619135,2,2,13249
8,129,3,1,6.000433191724508,4.0053210790772305,0.00043319172450804897,0.005321079077230011,6,4,13263
8,75,3,4,4.136887584868563,4.049460445310228,1.1368875848685633,0.04946044531022759,3,4,13153
