AreaKey,initial_regime,final_regime,transition
13095,2,4,2→4
13271,2,4,2→4
13315,2,4,2→4
13145,3,1,3→1
13263,3,1,3→1
13023,3,4,3→4
13053,3,4,3→4
13107,3,4,3→4
13153,3,4,3→4
13165,3,4,3→4
13175,3,4,3→4
13197,3,4,3→4
13215,3,4,3→4
13249,3,4,3→4
13251,3,4,3→4
13283,3,4,3→4
13167,3,5,3→5
13099,4,2,4→2
13267,4,6,4→6
13035,5,1,5→1
13159,5,1,5→1
13171,5,1,5→1
13207,5,1,5→1
13211,5,1,5→1
13231,5,1,5→1
13293,5,1,5→1
13021,5,3,5→3
13079,5,3,5→3
13289,5,3,5→3
13033,5,4,5→4
13069,6,2,6→2
13185,6,2,6→2
13029,6,4,6→4
13051,6,4,6→4
13161,6,4,6→4
