AreaKey,initial,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,final
13001,6,6,6,6,6,6,6,6,6,6
13003,6,6,6,6,6,6,6,6,6,6
13005,6,6,6,6,6,6,6,6,6,6
13007,2,2,2,2,2,2,2,2,2,2
13009,5,5,5,5,5,5,5,5,5,5
13011,1,1,1,1,1,1,1,1,1,1
13013,1,1,1,1,1,1,1,1,1,1
13015,1,1,1,1,1,1,1,1,1,1
13017,2,2,2,2,2,2,2,2,2,2
13019,2,2,2,2,2,2,2,2,2,2
13021,5,3,3,3,3,3,3,3,3,3
13023,3,3,3,4,4,4,4,4,4,4
13025,6,6,6,6,6,6,6,6,6,6
13027,2,2,2,2,2,2,2,2,2,2
13029,6,6,4,4,4,4,4,4,4,4
13031,4,4,4,4,4,4,4,4,4,4
13033,5,5,4,4,4,4,4,4,4,4
13035,5,5,5,1,1,1,1,1,1,1
13037,4,4,4,4,4,4,4,4,4,4
13039,6,6,6,6,6,6,6,6,6,6
13043,4,4,4,4,4,4,4,4,4,4
13045,1,1,1,1,1,1,1,1,1,1
13047,1,1,1,1,1,1,1,1,1,1
13049,6,6,6,6,6,6,6,6,6,6
13051,6,4,4,4,4,4,4,4,4,4
13053,3,3,3,3,3,3,4,4,4,4
13055,1,1,1,1,1,1,1,1,1,1
13057,1,1,1,1,1,1,1,1,1,1
13059,1,1,1,1,1,1,1,1,1,1
13061,4,4,4,4,4,4,4,4,4,4
13063,1,1,1,1,1,1,1,1,1,1
13065,6,6,6,6,6,6,6,6,6,6
13067,1,1,1,1,1,1,1,1,1,1
13069,6,6,2,2,2,2,2,2,2,2
13071,2,2,2,2,2,2,2,2,2,2
13073,5,5,5,5,5,5,5,5,5,5
13075,2,2,2,2,2,2,2,2,2,2
13077,1,1,1,1,1,1,1,1,1,1
13079,5,5,3,3,3,3,3,3,3,3
13081,4,2,4,4,4,4,4,4,4,4
13083,1,1,1,1,1,1,1,1,1,1
13085,1,1,1,1,1,1,1,1,1,1
13087,2,2,2,2,2,2,2,2,2,2
13089,1,1,1,1,1,1,1,1,1,1
13091,4,4,4,4,4,4,4,4,4,4
13093,4,4,4,4,4,4,4,4,4,4
13095,2,4,4,4,4,4,4,4,4,4
13097,1,1,1,1,1,1,1,1,1,1
13099,4,2,2,2,2,2,2,2,2,2
13101,6,6,6,6,6,6,6,6,6,6
13103,4,4,4,4,4,4,4,4,4,4
13105,1,1,1,1,1,1,1,1,1,1
13107,3,3,4,4,4,4,4,4,4,4
13109,4,6,6,4,4,4,4,4,4,4
13111,1,1,1,1,1,1,1,1,1,1
13113,1,1,1,1,1,1,1,1,1,1
13115,1,1,1,1,1,1,1,1,1,1
13117,1,1,1,1,1,1,1,1,1,1
13119,1,1,1,1,1,1,1,1,1,1
13121,1,1,1,1,1,1,1,1,1,1
13123,1,1,1,1,1,1,1,1,1,1
13125,5,5,5,5,5,5,5,5,5,5
13127,6,6,6,6,6,6,6,6,6,6
13129,1,1,1,1,1,1,1,1,1,1
13131,2,2,2,2,2,2,2,2,2,2
13133,5,5,5,5,1,5,1,5,5,5
13135,1,1,1,1,1,1,1,1,1,1
13137,1,1,1,1,1,1,1,1,1,1
13139,1,1,1,1,1,1,1,1,1,1
13141,5,5,5,5,5,5,5,5,5,5
13143,1,1,1,1,1,1,1,1,1,1
13145,3,1,1,1,1,1,1,1,1,1
13147,1,1,1,1,1,1,1,1,1,1
13149,1,1,1,1,1,1,1,1,1,1
13151,1,1,1,1,1,1,1,1,1,1
13153,3,3,3,3,3,3,3,3,4,4
13155,2,2,2,2,2,2,2,2,2,2
13157,1,1,1,1,1,1,1,1,1,1
13159,5,5,5,5,1,1,1,1,1,1
