K,regime,n,selected_bandwidth,bandwidth_fraction_of_regime,bandwidth_at_regime_max
2,1,97,97,1.0,True
2,2,62,62,1.0,True
3,1,80,79,0.9875,False
3,2,17,17,1.0,True
3,3,62,62,1.0,True
4,1,80,79,0.9875,False
4,2,41,41,1.0,True
4,3,17,17,1.0,True
4,4,21,21,1.0,True
5,1,53,53,1.0,True
5,2,41,41,1.0,True
5,3,17,17,1.0,True
5,4,27,27,1.0,True
5,5,21,21,1.0,True
6,1,53,53,1.0,True
6,2,19,19,1.0,True
6,3,17,17,1.0,True
6,4,22,22,1.0,True
6,5,27,27,1.0,True
6,6,21,21,1.0,True
7,1,53,53,1.0,True
7,2,15,15,1.0,True
7,3,19,19,1.0,True
7,4,17,17,1.0,True
7,5,27,27,1.0,True
7,6,21,21,1.0,True
8,1,16,16,1.0,True
8,2,15,15,1.0,True
8,3,37,37,1.0,True
8,4,19,19,1.0,True
8,5,17,17,1.0,True
8,6,27,27,1.0,True
8,7,21,21,1.0,True
9,1,16,16,1.0,True
9,2,15,15,1.0,True
9,3,37,37,1.0,True
9,4,19,19,1.0,True
9,5,17,17,1.0,True
9,6,27,27,1.0,True
9,7,9,9,1.0,True
