term,model_a,model_b,pearson_r,mean_abs_difference,rmse_difference,max_abs_difference
Intercept,gwr,mgwr,0.9792062631689713,0.03690877481985227,0.04320322321236984,0.08979005376335977
Intercept,gwr,grgwr,0.7465632880659366,0.14222713601329312,0.19710308684009603,0.6573931987034688
Intercept,mgwr,grgwr,0.7700989514786103,0.13045077982419964,0.19699599783215857,0.7051596218764175
PctFB,gwr,mgwr,0.9913366346253225,0.026307830506657796,0.03511620064057371,0.08208239835944275
PctFB,gwr,grgwr,0.686229522899581,0.19095476042021536,0.24472624964323014,0.7086705941931128
PctFB,mgwr,grgwr,0.7093659966428146,0.18669951167249005,0.23819156187937043,0.6633124357785392
PctBlack,gwr,mgwr,0.8520471871485316,0.046202935307581405,0.06250720006661865,0.14235662091210433
PctBlack,gwr,grgwr,0.4824332691407498,0.07850221145360524,0.1080830495996864,0.407405022132475
PctBlack,mgwr,grgwr,0.423799946359806,0.07911803235288103,0.1201465519006703,0.3900760309615361
PctRural,gwr,mgwr,0.6225031127193261,0.0457234390985442,0.056117940517142556,0.11992991608559889
PctRural,gwr,grgwr,0.32281097870304754,0.15715723019237574,0.28627517548675036,1.725671805056853
PctRural,mgwr,grgwr,0.2216745326716667,0.16171727685160517,0.3013249024391663,1.8101189245305944
