AreaKey,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15
13001,2,3,4,5,6,6,7,7,8,9,10,11,11,12
13003,2,3,4,5,6,6,7,7,8,9,10,11,11,12
13005,2,3,4,5,6,6,7,7,8,9,10,11,11,12
13007,2,3,2,2,2,3,4,4,5,5,5,5,5,5
13009,1,1,1,4,5,5,6,6,7,8,9,10,10,11
13011,1,1,1,1,1,1,3,3,4,4,4,4,4,6
13013,1,1,1,1,1,1,3,3,4,4,4,4,4,6
13015,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13017,2,3,2,2,2,3,4,4,5,5,5,5,5,5
13019,2,3,2,2,2,3,4,4,5,5,5,5,5,5
13021,1,1,1,4,5,5,6,6,7,8,9,9,9,10
13023,1,2,3,3,3,4,5,5,6,7,8,8,8,9
13025,2,3,4,5,6,6,7,9,10,11,12,13,13,14
13027,2,3,2,2,2,3,4,4,5,5,5,5,5,5
13029,2,3,4,5,6,6,7,9,10,11,12,13,14,15
13031,2,3,2,2,4,7,8,8,9,10,11,12,12,13
13033,1,1,1,4,5,5,6,6,7,8,9,9,9,10
13035,1,1,1,4,5,5,6,6,7,8,9,9,9,10
13037,2,3,2,2,4,2,2,2,3,3,2,2,2,3
13039,2,3,4,5,6,6,7,9,10,11,12,13,13,14
13043,2,3,2,2,4,7,8,8,9,10,11,12,12,13
13045,1,1,1,1,1,1,3,3,4,4,4,4,4,2
13047,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13049,2,3,4,5,6,6,7,9,10,11,12,13,13,14
13051,2,3,4,5,6,6,7,9,10,11,12,13,14,15
13053,1,2,3,3,3,4,5,5,6,7,8,8,8,9
13055,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13057,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13059,1,1,1,1,1,1,3,3,4,6,6,6,6,7
13061,2,3,2,2,4,2,2,2,3,3,2,2,2,3
13063,1,1,1,1,1,1,3,3,4,4,4,4,4,2
13065,2,3,4,5,6,6,7,7,8,9,10,11,11,12
13067,1,1,1,1,1,1,3,3,4,4,4,4,4,2
13069,2,3,4,5,6,6,7,7,8,9,10,11,11,12
13071,2,3,2,2,2,3,4,4,5,5,5,5,5,5
13073,1,1,1,4,5,5,6,6,7,8,9,9,9,10
13075,2,3,2,2,2,3,4,4,5,5,5,5,5,5
13077,1,1,1,1,1,1,3,3,4,4,4,4,4,2
13079,1,1,1,4,5,5,6,6,7,8,9,9,9,10
13081,2,3,2,2,4,2,2,2,3,3,7,7,7,8
