K,wcss,boundary_edges,boundary_fraction,min_regime_size,median_regime_size,max_regime_size,all_regimes_connected,regime_sizes,merge_cost_to_K_minus_1
2,115.02364162209514,24,0.05568445475638051,62,79.5,97,True,97;62,361.97635837790494
3,89.09614897999677,46,0.10672853828306264,17,62.0,80,True,80;17;62,25.927492642098372
4,71.29274724194346,69,0.16009280742459397,17,31.0,80,True,80;41;17;21,17.80340173805331
5,54.15938680584927,86,0.19953596287703015,17,27.0,53,True,53;41;17;27;21,17.133360436094186
6,41.17628003831052,102,0.23665893271461716,17,21.5,53,True,53;19;17;22;27;21,12.98310676753875
7,36.40779409294653,103,0.23897911832946636,7,19.0,53,True,53;15;19;17;27;21;7,4.768485945363992
8,31.685771836368776,117,0.271461716937355,7,18.0,37,True,16;15;37;19;17;27;21;7,4.722022256577755
9,28.44459183315913,124,0.2877030162412993,7,16.0,37,True,16;15;37;19;17;27;9;7;12,3.241180003209646
10,26.037984546215483,133,0.308584686774942,4,14.0,37,True,16;4;15;37;19;13;27;9;7;12,2.406607286943647
11,23.67771760723511,151,0.3503480278422274,4,13.0,27,True,16;4;15;26;19;11;13;27;9;7;12,2.3602669389803737
12,21.592572349193457,155,0.35962877030162416,4,11.5,27,True,16;9;4;26;19;11;6;13;27;9;7;12,2.0851452580416527
13,19.84955748661107,171,0.39675174013921116,4,11.0,26,True,16;9;4;26;19;11;6;13;19;8;9;7;12,1.7430148625823882
14,18.349830106764237,174,0.4037122969837587,4,9.0,26,True,16;9;4;26;19;11;6;13;19;8;9;7;7;5,1.4997273798468314
15,16.930196306906193,177,0.41067285382830626,4,9.0,19,True,16;11;9;4;19;15;11;6;13;19;8;9;7;7;5,1.419633799858044
