row_index,AreaKey,degree,component
0,13001,6,0
1,13003,5,0
2,13005,5,0
3,13007,6,0
4,13009,5,0
5,13011,6,0
6,13013,6,0
7,13015,7,0
8,13017,5,0
9,13019,7,0
10,13021,6,0
11,13023,6,0
12,13025,6,0
13,13027,4,0
14,13029,5,0
15,13031,7,0
16,13033,5,0
17,13035,6,0
18,13037,6,0
19,13039,3,0
20,13043,5,0
21,13045,6,0
22,13047,2,0
23,13049,3,0
24,13051,2,0
25,13053,4,0
26,13055,2,0
27,13057,7,0
28,13059,5,0
29,13061,4,0
30,13063,5,0
31,13065,4,0
32,13067,5,0
33,13069,8,0
34,13071,6,0
35,13073,3,0
36,13075,5,0
37,13077,7,0
38,13079,6,0
39,13081,6,0
40,13083,1,0
41,13085,7,0
42,13087,5,0
43,13089,5,0
44,13091,6,0
45,13093,6,0
46,13095,6,0
47,13097,4,0
48,13099,5,0
49,13101,3,0
50,13103,4,0
51,13105,5,0
52,13107,11,0
53,13109,5,0
54,13111,5,0
55,13113,4,0
56,13115,5,0
57,13117,5,0
58,13119,4,0
59,13121,10,0
60,13123,5,0
61,13125,4,0
62,13127,4,0
63,13129,8,0
64,13131,3,0
65,13133,6,0
66,13135,8,0
67,13137,6,0
68,13139,9,0
69,13141,7,0
70,13143,3,0
71,13145,4,0
72,13147,3,0
73,13149,3,0
74,13151,6,0
75,13153,7,0
76,13155,5,0
77,13157,7,0
78,13159,6,0
79,13161,7,0
80,13163,8,0
81,13165,4,0
82,13167,6,0
83,13169,7,0
84,13171,5,0
85,13173,5,0
86,13175,8,0
87,13177,5,0
88,13179,5,0
89,13181,4,0
90,13183,4,0
91,13185,5,0
92,13187,5,0
93,13189,6,0
94,13191,4,0
95,13193,7,0
96,13195,7,0
97,13197,7,0
98,13199,7,0
99,13201,4,0
100,13205,7,0
101,13207,7,0
102,13209,5,0
103,13211,6,0
104,13213,4,0
105,13215,3,0
106,13217,6,0
107,13219,7,0
108,13221,7,0
109,13223,6,0
110,13225,5,0
111,13227,5,0
112,13229,5,0
113,13231,4,0
114,13233,4,0
115,13235,5,0
116,13237,6,0
117,13239,3,0
118,13241,2,0
119,13243,6,0
120,13245,4,0
121,13247,5,0
122,13249,4,0
123,13251,4,0
124,13253,3,0
125,13255,8,0
126,13257,3,0
127,13259,5,0
128,13261,8,0
129,13263,7,0
130,13265,5,0
131,13267,8,0
132,13269,7,0
133,13271,6,0
134,13273,6,0
135,13275,4,0
136,13277,6,0
137,13279,7,0
138,13281,4,0
139,13283,6,0
140,13285,4,0
141,13287,6,0
142,13289,6,0
143,13291,4,0
144,13293,7,0
145,13295,6,0
146,13297,6,0
147,13299,7,0
148,13301,6,0
149,13303,6,0
150,13305,7,0
151,13307,5,0
152,13309,6,0
153,13311,5,0
154,13313,4,0
155,13315,7,0
156,13317,6,0
157,13319,7,0
158,13321,7,0
