i,j,AreaKey_i,AreaKey_j
0,2,13001,13005
0,79,13001,13161
0,112,13001,13229
0,131,13001,13267
0,137,13001,13279
0,150,13001,13305
1,9,13003,13019
1,31,13003,13065
1,33,13003,13069
1,85,13003,13173
1,147,13003,13299
2,33,13005,13069
2,79,13005,13161
2,112,13005,13229
2,147,13005,13299
3,18,13007,13037
3,42,13007,13087
3,46,13007,13095
3,48,13007,13099
3,99,13007,13201
3,100,13007,13205
4,69,13009,13141
4,83,13009,13169
4,116,13009,13237
4,149,13009,13303
4,157,13009,13319
5,58,13011,13119
5,67,13011,13137
5,68,13011,13139
5,77,13011,13157
5,96,13011,13195
5,126,13011,13257
6,28,13013,13059
6,66,13013,13135
6,68,13013,13139
6,77,13013,13157
6,107,13013,13219
6,146,13013,13297
7,27,13015,13057
7,32,13015,13067
7,56,13015,13115
7,63,13015,13129
7,109,13015,13223
7,111,13015,13227
7,114,13015,13233
8,33,13017,13069
8,76,13017,13155
8,133,13017,13271
8,141,13017,13287
8,155,13017,13315
9,33,13019,13069
9,36,13019,13075
9,76,13019,13155
9,85,13019,13173
9,91,13019,13185
9,136,13019,13277
10,38,13021,13079
10,75,13021,13153
10,83,13021,13169
10,101,13021,13207
10,110,13021,13225
10,142,13021,13289
11,44,13023,13091
11,75,13023,13153
11,86,13023,13175
11,115,13023,13235
11,142,13023,13289
11,157,13023,13319
12,19,13025,13039
12,23,13025,13049
12,62,13025,13127
12,112,13025,13229
12,147,13025,13299
12,150,13025,13305
13,34,13027,13071
13,36,13027,13075
13,91,13027,13185
13,135,13027,13275
14,15,13029,13031
14,24,13029,13051
14,50,13029,13103
14,53,13029,13109
14,88,13029,13179
15,20,13031,13043
15,50,13031,13103
15,52,13031,13107
15,53,13031,13109
15,81,13031,13165
15,123,13031,13251
16,52,13033,13107
16,80,13033,13163
16,81,13033,13165
16,120,13033,13245
16,123,13033,13251
17,74,13035,13151
17,78,13035,13159
17,84,13035,13171
17,101,13035,13207
17,106,13035,13217
17,125,13035,13255
18,29,13037,13061
18,46,13037,13095
18,48,13037,13099
18,119,13037,13243
18,134,13037,13273
19,23,13039,13049
19,62,13039,13127
20,52,13043,13107
20,53,13043,13109
20,131,13043,13267
20,137,13043,13279
21,37,13045,13077
21,47,13045,13097
21,59,13045,13121
21,70,13045,13143
21,73,13045,13149
21,109,13045,13223
22,145,13047,13295
22,154,13047,13313
23,147,13049,13299
24,50,13051,13103
25,97,13053,13197
25,105,13053,13215
25,127,13053,13259
25,129,13053,13263
26,56,13055,13115
26,145,13055,13295
27,32,13057,13067
27,41,13057,13085
27,57,13057,13117
27,59,13057,13121
27,63,13057,13129
27,111,13057,13227
28,77,13059,13157
28,96,13059,13195
28,107,13059,13219
28,108,13059,13221
29,48,13061,13099
29,117,13061,13239
29,119,13061,13243
30,43,13063,13089
30,55,13063,13113
30,59,13063,13121
30,74,13063,13151
30,125,13063,13255
31,49,13065,13101
31,85,13065,13173
31,147,13065,13299
32,47,13067,13097
32,59,13067,13121
32,109,13067,13223
33,76,13069,13155
33,79,13069,13161
33,133,13069,13271
33,147,13069,13299
34,36,13071,13075
34,100,13071,13205
34,135,13071,13275
34,136,13071,13277
34,158,13071,13321
35,89,13073,13181
35,93,13073,13189
35,120,13073,13245
36,91,13075,13185
36,136,13075,13277
37,55,13077,13113
37,59,13077,13121
37,73,13077,13149
37,98,13077,13199
37,125,13077,13255
37,140,13077,13285
38,95,13079,13193
38,101,13079,13207
38,110,13079,13225
38,132,13079,13269
38,144,13079,13293
39,45,13081,13093
39,87,13081,13177
39,128,13081,13261
39,141,13081,13287
39,155,13081,13315
39,158,13081,13321
40,145,13083,13295
41,54,13085,13111
41,57,13085,13117
41,60,13085,13123
41,68,13085,13139
41,92,13085,13187
41,111,13085,13227
42,64,13087,13131
42,99,13087,13201
42,100,13087,13205
42,124,13087,13253
43,59,13089,13121
43,66,13089,13135
43,74,13089,13151
43,121,13089,13247
44,86,13091,13175
44,115,13091,13235
44,133,13091,13271
44,152,13091,13309
44,155,13091,13315
45,75,13093,13153
45,95,13093,13193
45,115,13093,13235
45,128,13093,13261
45,155,13093,13315
46,87,13095,13177
46,100,13095,13205
46,134,13095,13273
46,158,13095,13321
47,59,13097,13121
47,109,13097,13223
48,99,13099,13201
48,124,13099,13253
49,85,13101,13173
49,91,13101,13185
50,123,13103,13251
51,72,13105,13147
51,89,13105,13181
51,96,13105,13195
51,108,13105,13221
