delta,noise_sigma,seed,gwr_bandwidth,mgwr_bw_intercept,mgwr_bw_x1,mgwr_bw_x2,mgwr_bw_x3,mgwr_error,initial_ari,refined_ari,initial_boundary_f1,refined_boundary_f1,initial_boundary_edges,refined_boundary_edges,refinement_iterations,refinement_stop,gwr_fit_rmse,mgwr_fit_rmse,grgwr_fit_rmse,oracle_fit_rmse,gwr_coef_rmse,mgwr_coef_rmse,grgwr_coef_rmse,oracle_coef_rmse,gwr_jump_ratio,mgwr_jump_ratio,grgwr_jump_ratio,oracle_jump_ratio,gr_minus_gwr_fit_rmse,gr_minus_mgwr_fit_rmse,gr_minus_gwr_coef_rmse,gr_minus_mgwr_coef_rmse,gr_fit_better_than_gwr,gr_fit_better_than_mgwr,gr_coef_better_than_gwr,gr_coef_better_than_mgwr,runtime_gwr_seconds,runtime_gr_after_pilot_seconds,runtime_gr_total_seconds,runtime_mgwr_seconds,runtime_oracle_seconds,scenario,source_file
1.5,2.0,20300000,152,398.0,74.0,146.0,212.0,,0.8126432865587517,0.8692244069378993,0.1908713692946058,0.3849372384937238,128,126,6,no_label_changes,0.7290205511133439,0.7144344144369804,0.7050388544538844,0.7116289455315851,0.1556220074650851,0.1516157674909721,0.151112047901509,0.0834317553165886,0.134607750483052,0.1685219118309056,0.4990481317517189,1.0393327396189107,-0.0239816966594594,-0.009395559983096,-0.004509959563576,-0.0005037195894631,1,1,1,1,2.781821745000002,0.8936683379999977,3.675490083,24.136147804000004,0.071958366000004,high_noise_failure,mc_high_noise_failure_chunk00.csv
1.5,2.0,20300001,137,152.0,63.0,58.0,148.0,,0.7746873062935561,0.8485783030435589,0.1538461538461538,0.4793388429752066,121,129,5,no_label_changes,0.7181111066156803,0.6769034839263364,0.7143479167764617,0.7196312627627426,0.1706854355323744,0.1811933968414316,0.147275196236066,0.0761505593074069,0.1414038571729357,0.1837645837734827,0.5546171943005056,0.9936012383001048,-0.0037631898392186,0.0374444328501253,-0.0234102392963083,-0.0339182006053656,1,0,1,1,1.4999788830000114,0.7676105729999847,2.267589455999996,24.551155526,0.0715741019999995,high_noise_failure,mc_high_noise_failure_chunk00.csv
1.5,2.0,20300002,192,622.0,113.0,203.0,166.0,,0.8312407936275454,0.8938273612121993,0.3056768558951964,0.4180327868852459,116,131,4,no_label_changes,0.7450538584460865,0.7408199276254883,0.7241800540300537,0.7362802305780365,0.1742723701875406,0.1744640518389247,0.1420307089719132,0.0670101409554213,0.1254000618861102,0.1354703952181349,0.4819617154188179,0.998835816010595,-0.0208738044160328,-0.0166398735954346,-0.0322416612156274,-0.0324333428670114,1,1,1,1,1.4372405189999995,0.629979684999995,2.0672202039999945,18.52829124599998,0.0740076159999887,high_noise_failure,mc_high_noise_failure_chunk00.csv
1.5,2.0,20300003,238,624.0,85.0,143.0,238.0,,0.7525258426175702,0.8701253278583514,0.1233480176211453,0.5560165975103735,114,128,5,no_label_changes,0.7686700863430392,0.7400893190744352,0.7319550053367057,0.7362233210524283,0.1782570751458224,0.160960060237917,0.1295499859702412,0.0541837985424263,0.102506567911671,0.1551363054102106,0.6453003417863202,1.0076138469553657,-0.0367150810063335,-0.0081343137377295,-0.0487070891755811,-0.0314100742676757,1,1,1,1,1.5640325460000213,0.7527649719999943,2.3167975180000155,24.47832291100002,0.0711505769999973,high_noise_failure,mc_high_noise_failure_chunk00.csv
1.5,2.0,20300004,178,624.0,120.0,134.0,146.0,,0.7261221760412073,0.7441655187670788,0.0611353711790393,0.1787234042553191,116,122,2,no_label_changes,0.7236025105161611,0.7129991365748497,0.7142862446533871,0.7101574257245495,0.15194872588974,0.1502412705360218,0.1755921666148706,0.0606451778475697,0.120788208694345,0.1383906529487682,0.2125632501798325,1.017734265264246,-0.009316265862774,0.0012871080785373,0.0236434407251305,0.0253508960788487,1,0,0,0,1.509059069000017,0.3801819100000045,1.8892409790000213,18.367295778,0.0711091449999798,high_noise_failure,mc_high_noise_failure_chunk00.csv
1.5,2.0,20300005,147,624.0,98.0,212.0,100.0,,0.7298742735757476,0.7387020029343682,0.3257575757575757,0.3695652173913044,151,163,3,no_label_changes,0.7240460176487482,0.7158090308065229,0.7110427381672605,0.7182947546744912,0.1582067198669876,0.1616714057846976,0.1608153248957013,0.0391413465141993,0.1229085397057149,0.1286015834218492,0.4263713297388076,0.9641536914504266,-0.0130032794814877,-0.0047662926392624,0.0026086050287136,-0.0008560808889962,1,1,0,1,1.5083604790000038,0.5599455699999965,2.0683060490000003,23.95321590399999,0.0755973980000135,high_noise_failure,mc_high_noise_failure_chunk00.csv
1.5,2.0,20300006,191,624.0,114.0,176.0,194.0,,0.7412566915930076,0.7801940050174319,0.3508771929824561,0.4117647058823529,115,125,3,global_objective_guard_rejected_sweep,0.764802449672649,0.7595415900019509,0.7446732008181745,0.7452311665641204,0.1613562664750805,0.1573330844730507,0.1596214992715999,0.0582974668585058,0.1226373589728444,0.1353881112746121,0.4982628187324694,0.9864016164643038,-0.0201292488544745,-0.0148683891837764,-0.0017347672034806,0.0022884147985492,1,1,1,0,1.5176070090000169,0.5815278929999863,2.099134902000003,18.491819556,0.071003045999987,high_noise_failure,mc_high_noise_failure_chunk00.csv
1.5,2.0,20300007,131,120.0,101.0,212.0,134.0,,0.8923847792657661,0.9757034547751644,0.3930131004366812,0.8571428571428572,116,118,3,no_label_changes,0.7376149786807067,0.7344180142652421,0.7367360873453171,0.738963584666165,0.156444355242094,0.1543570035049166,0.0869770000125579,0.0608794283898378,0.1555202402346519,0.1586171349129979,0.8903901862940213,1.0226129614717263,-0.0008788913353895,0.002318073080075,-0.069467355229536,-0.0673800034923587,1,0,1,1,1.393533852000019,0.4924842369999851,1.886018089000004,18.34875922799995,0.0707238549999829,high_noise_failure,mc_high_noise_failure_chunk00.csv
1.5,2.0,20300008,216,624.0,111.0,175.0,173.0,,0.7079859402672144,0.7752313340213947,0.0789473684210526,0.2068965517241379,115,148,5,no_label_changes,0.7307394481315613,0.718963803835338,0.6958052904939643,0.70212253385486,0.1545683318825848,0.1470806772500989,0.1834389402091866,0.0429704172596082,0.1214411090117734,0.1469572488152941,0.2940306919274919,1.0496017568823044,-0.0349341576375969,-0.0231585133413736,0.0288706083266018,0.0363582629590876,1,1,0,0,1.4107478750000269,0.8066260209999996,2.2173738960000264,18.474693855,0.0709070550000205,high_noise_failure,mc_high_noise_failure_chunk00.csv
1.5,2.0,20300009,150,256.0,102.0,121.0,163.0,,0.8378272928318062,0.9223592448715658,0.2347826086956522,0.5822784810126581,117,124,5,no_label_changes,0.7467329482344817,0.738259850336037,0.7526495856706983,0.755816054282592,0.1708618478029171,0.1697921394093051,0.1185220350961036,0.0687201198215117,0.1142963770322297,0.1332449045060073,0.5565705859511197,0.8906481886232634,0.0059166374362166,0.0143897353346612,-0.0523398127068134,-0.0512701043132014,0,0,1,1,1.512059143999977,0.7325558699999988,2.244615013999976,18.61248766,0.0724225099999671,high_noise_failure,mc_high_noise_failure_chunk00.csv
