scenario,metric,comparison,mean_paired_difference,ci95_low,ci95_high,n,grgwr_better_if_negative,ci_excludes_zero
high_noise_failure,fit_rmse,GR-GWR minus GWR,-0.01768009622662509,-0.02028503365157972,-0.01507515880167046,100,True,True
high_noise_failure,fit_rmse,GR-GWR minus MGWR,-0.009079657347624172,-0.012326070617157202,-0.005833244078091142,100,True,True
high_noise_failure,coef_rmse,GR-GWR minus GWR,-0.012619277030987603,-0.017876972851934504,-0.007361581210040702,100,True,True
high_noise_failure,coef_rmse,GR-GWR minus MGWR,-0.013064893237927033,-0.0182884799972172,-0.007841306478636867,100,True,True
moderate,fit_rmse,GR-GWR minus GWR,-0.021245800691284508,-0.02431935828018756,-0.018172243102381455,100,True,True
moderate,fit_rmse,GR-GWR minus MGWR,-0.006138102931375031,-0.010019948422136053,-0.00225625744061401,100,True,True
moderate,coef_rmse,GR-GWR minus GWR,-0.054925339173606674,-0.06095080859088026,-0.04889986975633309,100,True,True
moderate,coef_rmse,GR-GWR minus MGWR,-0.051151799570110575,-0.05718913305581931,-0.04511446608440184,100,True,True
null_forced_k3,fit_rmse,GR-GWR minus GWR,-0.014899840838696837,-0.015754930037466024,-0.01404475163992765,100,True,True
null_forced_k3,fit_rmse,GR-GWR minus MGWR,-0.008868304261042325,-0.0100877669187311,-0.007648841603353551,100,True,True
null_forced_k3,coef_rmse,GR-GWR minus GWR,0.04273575385301129,0.040056088999650664,0.04541541870637191,100,True,True
null_forced_k3,coef_rmse,GR-GWR minus MGWR,0.03225146818443202,0.02901725623308402,0.03548568013578002,100,True,True
strong,fit_rmse,GR-GWR minus GWR,-0.10247436893466663,-0.10631072670046007,-0.09863801116887319,100,True,True
strong,fit_rmse,GR-GWR minus MGWR,-0.03315988908654004,-0.038842933680634135,-0.027476844492445942,100,True,True
strong,coef_rmse,GR-GWR minus GWR,-0.13308955048982432,-0.13904967398396129,-0.12712942699568736,100,True,True
strong,coef_rmse,GR-GWR minus MGWR,-0.11496311991368464,-0.12084618067533891,-0.10908005915203038,100,True,True
weak,fit_rmse,GR-GWR minus GWR,-0.00963442642899867,-0.011826084740428797,-0.007442768117568542,100,True,True
weak,fit_rmse,GR-GWR minus MGWR,-0.003352479291493914,-0.0061150722755982725,-0.0005898863073895548,100,True,True
weak,coef_rmse,GR-GWR minus GWR,-0.008110128648326288,-0.011970951843531365,-0.004249305453121211,100,True,True
weak,coef_rmse,GR-GWR minus MGWR,-0.008746140198622191,-0.012590526354705527,-0.004901754042538855,100,True,True
