delta,noise_sigma,seed,gwr_bandwidth,mgwr_bandwidths,initial_ari,refined_ari,initial_boundary_f1,refined_boundary_f1,refinement_iterations,refinement_stop,gwr_coef_rmse,mgwr_coef_rmse,grgwr_coef_rmse,oracle_coef_rmse,gwr_fit_rmse,mgwr_fit_rmse,grgwr_fit_rmse,oracle_fit_rmse,gwr_jump_ratio,mgwr_jump_ratio,grgwr_jump_ratio,oracle_jump_ratio,note,gr_minus_gwr_coef_rmse,gr_minus_mgwr_coef_rmse,gr_vs_best_smoother_coef_rmse,gr_oracle_gap_coef_rmse,gr_minus_gwr_fit_rmse,gr_minus_mgwr_fit_rmse
0.0,0.5,20260903,624,"[624, 624, 624, 624]",,,,,1,no_label_changes,0.017954088440369977,0.018312675974916977,0.04100564538618728,0.038742164277590495,0.6764394318623272,0.6763504468228841,0.6701214698395749,0.6704423656752417,,,,,delta=0 has no statistically identifiable coefficient boundary; ARI/F1/jump ratios intentionally omitted,0.0230515569458173,0.0226929694112703,0.0230515569458173,0.002263481108596782,-0.006317962022752366,-0.0062289769833092645
0.5,0.5,20260903,129,"[624, 113, 129, 89]",0.9031541075412363,0.905459366070104,0.5304347826086956,0.5108225108225107,3,no_label_changes,0.1280528340220298,0.12588606340961012,0.11032350458622806,0.029989443021212828,0.5201392917549809,0.5194355826253182,0.5145132868559076,0.5189744429444476,0.15701295227247258,0.1699574759468568,0.5408365821319965,1.01414467912467,single-seed phase-diagram prototype,-0.017729329435801744,-0.015562558823382061,-0.015562558823382061,0.08033406156501523,-0.005626004899073278,-0.004922295769410612
1.0,0.5,20260903,88,"[624, 60, 60, 57]",0.8053023061481384,0.9039925653297849,0.36496350364963503,0.7063197026022305,3,no_label_changes,0.16067428691257757,0.15001393957389353,0.12228340907383098,0.021547567056908686,0.39367837099372804,0.37957130470259043,0.3738262910755107,0.37288577191171424,0.2001486007460578,0.2316589379938309,0.7877144526036856,1.0070723395623347,single-seed phase-diagram prototype,-0.03839087783874659,-0.02773053050006255,-0.02773053050006255,0.10073584201692229,-0.019852079918217358,-0.0057450136270797425
1.5,0.5,20260903,60,"[371, 36, 60, 37]",0.8240737818236512,0.9190402379899897,0.4312267657992565,0.8181818181818182,3,no_label_changes,0.16647061043005984,0.15707654137269658,0.11963766295174061,0.016239385949186724,0.31030690113317255,0.292149528457654,0.29286959399436935,0.2810264355619312,0.244613901092933,0.2730422408033087,0.8933185550563661,1.0047148930415566,single-seed phase-diagram prototype,-0.04683294747831923,-0.03743887842095597,-0.03743887842095597,0.10339827700255388,-0.017437307138803204,0.0007200655367153308
2.0,0.5,20260903,60,"[261, 36, 44, 37]",0.8060331739993059,0.91946895175001,0.32592592592592595,0.7924528301886792,4,no_label_changes,0.17159479098408617,0.15708027258768065,0.1338147899929142,0.012881717514147229,0.27905905701353473,0.25004787927174127,0.2391303532618372,0.2229211848430632,0.24509331865596706,0.2841990240194815,0.8659474704749052,1.003536169781167,single-seed phase-diagram prototype,-0.03778000099117196,-0.023265482594766435,-0.023265482594766435,0.12093307247876699,-0.03992870375169752,-0.01091752600990406
0.0,0.75,20260903,624,"[624, 624, 624, 624]",,,,,3,no_label_changes,0.021559949154101324,0.021990554641971388,0.05040327642697738,0.04652305767117407,0.8122940802713593,0.8121872236669574,0.8040301917089531,0.8050925761405999,,,,,delta=0 has no statistically identifiable coefficient boundary; ARI/F1/jump ratios intentionally omitted,0.028843327272876057,0.028412721785005993,0.028843327272876057,0.0038802187558033135,-0.00826388856240623,-0.008157031958004324
0.5,0.75,20260903,213,"[624, 136, 163, 213]",0.8213975009208389,0.8737926617184978,0.21052631578947367,0.41739130434782606,4,no_label_changes,0.1224563177046425,0.11887691501899364,0.11508963879572731,0.03886814112719416,0.6827036766993771,0.6764089593279177,0.6630195426440856,0.6726224250148142,0.11835718560078888,0.13893150010305252,0.4279881908242328,1.0212170186870042,single-seed phase-diagram prototype,-0.007366678908915195,-0.003787276223266328,-0.003787276223266328,0.07622149766853314,-0.01968413405529157,-0.01338941668383209
1.0,0.75,20260903,125,"[624, 91, 129, 92]",0.6906036720236642,0.8494958889897876,0.1415929203539823,0.36444444444444446,5,global_objective_guard_rejected_sweep,0.17724148349820198,0.1766350474313334,0.15860029811021353,0.030472827587352754,0.5415197620006741,0.5391860222713872,0.5436775972318252,0.5290523080543316,0.14148520889537136,0.1410802609428091,0.38446502610862177,0.9793259287879431,single-seed phase-diagram prototype,-0.01864118538798845,-0.01803474932111987,-0.01803474932111987,0.12812747052286078,0.002157835231151095,0.00449157496043795
1.5,0.75,20260903,88,"[624, 60, 60, 57]",0.8053023061481384,0.9000436631479112,0.36496350364963503,0.7037037037037037,3,no_label_changes,0.17305035563201357,0.16156888629694938,0.1353309211121994,0.023207286080762543,0.4240017703776315,0.4088080957361251,0.4016739614300389,0.40160760429918413,0.20014860074605784,0.23165893799383094,0.7881316189686443,1.0070723395623347,single-seed phase-diagram prototype,-0.03771943451981416,-0.026237965184749967,-0.026237965184749967,0.11212363503143687,-0.022327808947592565,-0.007134134306086171
2.0,0.75,20260903,67,"[390, 42, 60, 45]",0.7101536338245008,0.9168865035626207,0.046153846153846156,0.8075471698113209,4,no_label_changes,0.17490842357733405,0.16378223344850168,0.13278805803181357,0.01872631804290025,0.3525356365329226,0.3384786120334894,0.33915433312846366,0.32406338683384084,0.2323500943677941,0.2528605100622461,0.8619040376803948,1.0053042546717512,single-seed phase-diagram prototype,-0.04212036554552048,-0.030994175416688113,-0.030994175416688113,0.11406173998891331,-0.013381303404458922,0.0006757210949742687
0.0,1.0,20260903,624,"[624, 624, 624, 624]",,,,,4,no_label_changes,0.02341883906019574,0.023886571175275796,0.05973138194053415,0.05053425647723168,0.8823297401796498,0.8822136704429765,0.8710096057091194,0.874507325338866,,,,,delta=0 has no statistically identifiable coefficient boundary; ARI/F1/jump ratios intentionally omitted,0.03631254288033841,0.035844810765258354,0.03631254288033841,0.009197125463302473,-0.011320134470530374,-0.011204064733857044
0.5,1.0,20260903,277,"[624, 237, 189, 274]",0.8383263252629418,0.8820153581765571,0.33766233766233766,0.43404255319148943,3,no_label_changes,0.11376062610503146,0.11186115127659173,0.09802657374462101,0.04449631665076778,0.7817613602950693,0.7772939878022881,0.7615964680234013,0.7700193408252921,0.10128837149514935,0.11434612451859023,0.46834952771737554,1.0282893582493389,single-seed phase-diagram prototype,-0.01573405236041045,-0.013834577531970718,-0.013834577531970718,0.05353025709385323,-0.020164892271667956,-0.01569751977888678
1.0,1.0,20260903,129,"[624, 113, 129, 89]",0.9031541075412363,0.9430641962759686,0.5304347826086956,0.6952789699570816,2,no_label_changes,0.1541164495888765,0.15150865885616857,0.10509947142498824,0.03609343376798751,0.6260073941288922,0.6251604534622903,0.6162588863908804,0.6246054543408488,0.15701295227247258,0.1699574759468568,0.7319787763676106,1.0141446791246695,single-seed phase-diagram prototype,-0.04901697816388825,-0.04640918743118033,-0.04640918743118033,0.06900603765700072,-0.009748507738011725,-0.008901567071409877
1.5,1.0,20260903,88,"[624, 88, 79, 68]",0.8611482186206036,0.9666275100431995,0.31304347826086953,0.7913043478260869,3,no_label_changes,0.17017984085721877,0.16476210428791285,0.0956385447487726,0.02912073083212555,0.503990754940407,0.5089324447038078,0.4973161126386637,0.5039411719333213,0.2008113586643661,0.20313106148658544,0.8246289636942356,1.0094297860831132,single-seed phase-diagram prototype,-0.07454129610844616,-0.06912355953914025,-0.06912355953914025,0.06651781391664706,-0.006674642301743305,-0.01161633206514412
