model,term,rmse_beta,mae_beta,bias_beta,boundary_band_rmse_beta,interior_rmse_beta
OLS,Intercept,0.07586251206811671,0.0728300509500825,-0.0728300509500825,0.07443625383872172,0.07605784652031505
OLS,X1,0.6172426183606388,0.5411970236939969,-0.06673249706620302,0.6065743647915033,0.6187049672505066
OLS,X2,0.4943516418560876,0.438904408024463,0.007202375414492189,0.5033304908473316,0.49309578503866036
OLS,X3,0.39105491282226296,0.308635225387358,0.07021423945237945,0.42567001714222624,0.38601850777421615
GWR,Intercept,0.06603323083249388,0.05335356021182354,-0.01163700540559694,0.0850205464769832,0.06295510791475052
GWR,X1,0.22824243329588328,0.13898796590136198,-0.04216425522141276,0.49053274824892373,0.16123289541206168
GWR,X2,0.1821651341422755,0.10603992131073378,0.014694324204369821,0.4053595070461423,0.12260116438550507
GWR,X3,0.1642010580161751,0.11505764490645443,0.026233721956405668,0.34774087504745543,0.11812931484343309
MGWR,Intercept,0.032906399394255194,0.023421691825161434,-0.017899263623719377,0.03440816571109584,0.03269306919933286
MGWR,X1,0.21680632958640805,0.13503026435475904,-0.04167314198937566,0.47945366650129656,0.1472736641436917
MGWR,X2,0.16276920888530047,0.09615053056412569,0.00913576188002852,0.38203388376221875,0.09978522552255938
MGWR,X3,0.1456100108223072,0.10093183160049171,0.014465914945684886,0.31050395081196813,0.10387796336313294
GR-GWR,Intercept,0.03166683603695758,0.02802073837500505,-0.011715940125734044,0.03089430739367203,0.03177229979871787
GR-GWR,X1,0.166985401610557,0.04729245235476123,-0.02816590206582647,0.37199136726616555,0.1121968235675481
GR-GWR,X2,0.13705829377031742,0.04667681503859578,-0.0013858349477842253,0.3019373463866251,0.09362154646246974
GR-GWR,X3,0.03635910865180051,0.03333732194315585,0.013095661045036323,0.032988214690186556,0.036801431262235194
Oracle GR-GWR,Intercept,0.029950974873861377,0.02422096965104787,-0.014987218558707258,0.028308362362192228,0.030171321474112965
Oracle GR-GWR,X1,0.037986555032236524,0.0312626502169743,-0.015737702459499917,0.03888122959240505,0.037861036194856805
Oracle GR-GWR,X2,0.0340935185007378,0.03171709264235867,-0.012338178412476138,0.033344508506681976,0.03419591384573929
Oracle GR-GWR,X3,0.037482011871562804,0.03526632775323693,0.023952498192007426,0.03347412189386197,0.03800354645356578
