model,term,true_mean_jump,estimated_mean_jump,jump_recovery_ratio
OLS,X1,0.9859009269018135,0.0,0.0
OLS,X2,0.7923148509522396,0.0,0.0
OLS,X3,0.5759330639743906,0.0,0.0
GWR,X1,0.9859009269018135,0.14150956582123295,0.14353325162795588
GWR,X2,0.7923148509522396,0.14140097033214588,0.1784656316389928
GWR,X3,0.5759330639743906,0.11288505083467651,0.1727029831800172
MGWR,X1,0.9859009269018135,0.16229074773330196,0.164611618982142
MGWR,X2,0.7923148509522396,0.18699856788735147,0.23601547751201202
MGWR,X3,0.5759330639743906,0.16294000832219302,0.25478362899278223
GR-GWR,X1,0.9859009269018135,0.7497499179208367,0.7604718663536714
GR-GWR,X2,0.7923148509522396,0.67495294417883,0.8518746598875955
GR-GWR,X3,0.5759330639743906,0.5695158451065567,0.9708971396498197
Oracle GR-GWR,X1,0.9859009269018135,0.939380111513179,0.9528139044002871
Oracle GR-GWR,X2,0.7923148509522396,0.8396395186331761,1.0597296234243994
Oracle GR-GWR,X3,0.5759330639743906,0.5757642421118937,0.9844581904591588
