model,term,rmse_beta,mae_beta,bias_beta,boundary_band_rmse_beta,interior_rmse_beta
OLS,Intercept,0.09783112110823663,0.08032245147923919,-0.0540995836769028,0.1053773842573254,0.09674009161904701
OLS,X1,0.6620070508428049,0.5474876042860305,0.0684809974571946,0.6720607073576659,0.6606032312973326
OLS,X2,0.5199889493207338,0.4548598108852347,-0.08346135581116125,0.5198181346400564,0.5200125913761204
OLS,X3,0.47837373901989266,0.4107704991903018,0.019857108580827572,0.4748340335209515,0.47886169111667376
GWR,Intercept,0.07896308026053642,0.06428268170399004,-0.017126413413677613,0.11457398670541971,0.07267103996211623
GWR,X1,0.2146705783120804,0.14485123238591532,0.04288776356947528,0.46854841989727364,0.1485650948668267
GWR,X2,0.17333680180697028,0.11034615589723967,-0.014253998495220833,0.38543845778552766,0.1167857013953485
GWR,X3,0.16583958204497373,0.10789505403181084,0.0025440085513327246,0.35621257855710264,0.11723737749788607
MGWR,Intercept,0.041922127919680294,0.03510169422144283,-0.021707987950437622,0.03663560638627058,0.042602298697553616
MGWR,X1,0.20491440827294732,0.1396265185046579,0.044716272276670646,0.4503912416570334,0.14043209494131453
MGWR,X2,0.1684791428022539,0.11676481056334692,-0.007095406222552225,0.3582684010824336,0.12060630593621599
MGWR,X3,0.17143775554994803,0.11053540596753446,-0.013782742885584832,0.3545103266415632,0.1267343762705176
GR-GWR,Intercept,0.05282975745264835,0.04500352888835954,-0.027400609277427445,0.06126632746141174,0.05155317636600058
GR-GWR,X1,0.15535128791556232,0.08180258700658499,0.03261654923625508,0.37176259232677183,0.09133696152272969
GR-GWR,X2,0.11326153701831619,0.06225394677905564,0.0002262879908104697,0.2701652829291562,0.06708101519573592
GR-GWR,X3,0.15455031416080134,0.0660975474700157,0.005378902640562789,0.3890748583638298,0.07897109410159567
Oracle GR-GWR,Intercept,0.053864849211452286,0.04606360113032819,-0.03324469432129633,0.06366478134763102,0.0523638873021202
Oracle GR-GWR,X1,0.08253887012818956,0.06550441888613766,0.026220110544426477,0.1028965065672218,0.07930999284045405
Oracle GR-GWR,X2,0.056073408215224906,0.04693804813903802,0.0072981133235508165,0.050184343880688556,0.05684059368827388
Oracle GR-GWR,X3,0.05230513575486065,0.04225454784197327,0.022607345931095164,0.07119646897725737,0.04912073504527283
