model,term,true_mean_jump,estimated_mean_jump,jump_recovery_ratio
OLS,X1,0.9837997721599988,0.0,0.0
OLS,X2,0.7549500905023598,0.0,0.0
OLS,X3,0.6207052368434557,0.0,0.0
GWR,X1,0.9837997721599988,0.18341051999607602,0.18643074046803837
GWR,X2,0.7549500905023598,0.1449566553200716,0.1920082627231879
GWR,X3,0.6207052368434557,0.1250339407456116,0.20143851432841328
MGWR,X1,0.9837997721599988,0.20362558286401516,0.20697868471441241
MGWR,X2,0.7549500905023598,0.1544964169199138,0.20464454387588538
MGWR,X3,0.6207052368434557,0.10630013437798291,0.17125702840620988
GR-GWR,X1,0.9837997721599988,0.7097249810680789,0.721412020161206
GR-GWR,X2,0.7549500905023598,0.5758219498399945,0.7627284996506594
GR-GWR,X3,0.6207052368434557,0.4917897434795816,0.7923080301054604
Oracle GR-GWR,X1,0.9837997721599988,1.0057501927461452,1.0223118780948208
Oracle GR-GWR,X2,0.7549500905023598,0.7962263605972622,1.054674170669264
Oracle GR-GWR,X3,0.6207052368434557,0.7278436101390139,1.1726074905383455
