model,term,within_edges,true_gradient_sd,estimated_gradient_sd,gradient_rmse,gradient_mae,gradient_correlation
OLS,X1,2239,0.016990089248412853,0.0,0.019280662570528708,0.01632486641870236,
OLS,X2,2239,0.010405198898324418,0.0,0.010613122763364635,0.009093835232039887,
OLS,X3,2239,0.009606390858380404,0.0,0.010420673928228553,0.0089205213676616,
GWR,X1,2239,0.016990089248412853,0.07340261519353919,0.07345045091412182,0.04476946279506542,0.2961826068822964
GWR,X2,2239,0.010405198898324418,0.07293871089103769,0.07177264571655258,0.041691910769004116,0.28551959637174396
GWR,X3,2239,0.009606390858380404,0.06983833097729496,0.06646235877648105,0.04302554342710782,0.45514224175183216
MGWR,X1,2239,0.016990089248412853,0.07736435197096292,0.07697278727104356,0.04874307419232778,0.2975108543979452
MGWR,X2,2239,0.010405198898324418,0.07549798082326133,0.07389171231560233,0.04500768218822353,0.2967333467453312
MGWR,X3,2239,0.009606390858380404,0.05851301763753085,0.05453196211087361,0.03587226915710309,0.549783073967216
GR-GWR,X1,2239,0.016990089248412853,0.11009752442996026,0.11031763120861733,0.027302238756888978,0.06563046462327883
GR-GWR,X2,2239,0.010405198898324418,0.08839811064466709,0.0884386750253218,0.01980655358879103,0.0640171002401753
GR-GWR,X3,2239,0.009606390858380404,0.13366967593161733,0.13308237328491182,0.025632099057157534,0.09709246675244271
Oracle GR-GWR,X1,2239,0.016990089248412853,0.004552023706594422,0.01687930697109861,0.014195430517488585,0.46447487417649436
Oracle GR-GWR,X2,2239,0.010405198898324418,0.004591814674108446,0.009881825292483187,0.008389149729210718,0.40028805757105057
Oracle GR-GWR,X3,2239,0.009606390858380404,0.00442301752068505,0.009770110791101027,0.008305925260384713,0.3193314267800901
